,siteID,lon,lat,height,name
0,SNST,177.347494834,-38.779631498,597.0,Shannon Station
1,MAHA,173.793817,-41.291387,442.0,Mahakipawa Hill
2,MKNO,176.028832116,-39.703375975,832.205,Makino Road
3,HIKB,178.303352289,-37.561041359,107.3013,Hicks Bay
4,RGLI,176.38572413,-38.0032793,386.968,Lichenstein Road
5,WHKT,177.013877801,-37.981686322,231.83,Whakatane
6,AKTO,176.46122191,-40.53980682,432.94,Akitio Station
7,AHTI,178.046002897,-38.411447554,563.221,Ahititi
8,WGTT,174.781595653,-41.290439461,42.973,Wellington Tide Gauge
9,WANG,174.821447418,-39.78688106,289.6716,Wanganui
10,TGTK,175.81083175,-38.61103263,637.198,Te Kawerauta 1836
11,TGRI,175.858493018,-38.97712911,520.659,Rihia Road
12,PAEK,174.952081389,-41.021766126,443.2484,Paekakariki Hill
13,PTOI,175.99926884,-40.60106131,511.639,Puketoi
14,WAHU,177.234413566,-39.077210643,219.0,Waihua
15,KAHU,176.87627798,-39.79375204,654.309,Kahuranaki
16,BHST,176.063174364,-39.489184001,882.479,Black Hill Station
17,TGOH,176.04746911,-38.84583992,661.094,Ouaha Hills
18,RGUT,176.194167259,-38.176649018,560.1163,Utuhina
19,RGWI,177.177773718,-37.518075632,292.351,White Island Summit
20,TGHR,175.71191226,-38.67811161,570.302,Hingarae Road
21,MNHR,176.223377237,-40.468646217,295.633,Manuhara Road
22,MING,176.74973,-38.61686,458.0,Minginui
23,PAKI,178.0826,-37.89398,828.0,Pakihiroa
24,RGMK,176.46711325,-38.13834107,955.539,Makatiti
25,TINT,175.88567373,-40.77603359,538.547,Tintock
26,LEVN,175.240638492,-40.588781552,96.1601,Moutere No.3
27,NRRD,175.761337945,-40.385438526,500.701,North Range Road
28,TGWH,175.93904,-38.67344,660.0,Whakaroa
29,CKID,177.07635309,-39.65787439,234.903,Cape Kidnappers
30,THAP,175.785601523,-39.682492569,572.796,Taihape
31,CLIM,175.14547309,-41.14466931,830.724,Mt. Climie
32,TORY,174.28008007,-41.19157695,499.118,Arapawa No. 2
33,HOLD,175.515190045,-40.897248036,469.6892,Holdsworth Station
34,OTAK,175.170413249,-40.816546002,245.0853,Tuapaka Z
35,TGRA,175.77014571,-38.86337043,570.062,Rangitukua
36,MTBL,175.53615217,-40.181361325,156.761,Mount Blewitt No. 2
37,ANAU,178.291223348,-38.268212852,229.304,Anaura Bay
38,CMBL,174.213825886,-41.74902442,257.3261,Cape Campbell No. 2
39,PARW,175.42694283,-41.38154972,556.899,Paruwai
40,GNBK,175.238130872,-40.080340364,90.307,Greenbank
41,RGRR,176.514616116,-38.338892947,552.71,Republican Road
42,VGTS,175.608943389,-39.277259937,1766.6,Tukino Ski Field
43,PNUI,176.2004619,-39.91677899,787.922,Pukenui
44,PARI,177.883276367,-38.92257263,507.4359,Paritu Road
45,KORO,175.424056482,-40.409333842,51.554,Kooro
46,VGWN,175.597857026,-39.32692751,1564.718,Wahianoa
47,DURV,173.92159255,-40.80176403,468.459,D'Urville
48,RGKA,176.2440538,-38.02007133,497.32,Kaharoa
49,PAWA,176.86388246,-40.03308057,159.017,Pawanui
50,TAKP,175.962920076,-40.061564113,698.854,Takapari Road
51,VGWT,175.589695416,-39.115141445,1189.705,West Tongariro
52,RGKW,176.772812373,-38.05253052,101.086,Kawerau
53,PGKH,174.014270312,-39.294371273,904.572,Kahui Hut
54,MTQN,175.241362741,-41.00157941,1207.295,Mt. Quoin
55,WHVR,175.451742011,-39.730097955,690.052,Whangaehu Valley Road
56,RGRE,176.5212,-38.0573,552.0,Rotoehu
57,PKNO,175.1819269,-39.804772533,328.308,Parikino
58,RGON,176.23225032,-38.256592088,595.279,Ongahoro
59,PALI,175.25478278,-41.569229573,624.147,Cape Palliser
60,GISB,177.886034846,-38.635336913,87.1712,Gisborne
61,ARTA,176.136411795,-38.617584418,369.6395,Aratiatia Dam
62,VGTR,175.548312102,-39.298415848,2085.06,Turoa
63,MAHI,177.90700192,-39.152563727,322.4398,Mahia Peninsula
